fiveGene,threeGene
KMT2A,GMPS
KMT2A,GPHN
KMT2A,CEP170B
KMT2A,KIAA1524
KMT2A,LASP1
KMT2A,LPP
KMT2A,MAPRE1
KMT2A,MLLT1
KMT2A,MLLT10
KMT2A,MLLT11
KMT2A,MLLT4
KMT2A,MLLT6
KMT2A,MYO1F
KMT2A,NCKIPSD
KMT2A,NRIP3
KMT2A,PDS5A
KMT2A,PICALM
KMT2A,PRRC1
KMT2A,SARNP
KMT2A,SEPT2
KMT2A,SEPT5
KMT2A,SEPT6
KMT2A,SEPT9
KMT2A,SH3GL1
KMT2A,SORBS2
KMT2A,TOP3A
KMT2A,ZFYVE19
KTN1,RET
LIFR,PLAG1
LSM14A,BRAF
MARK4,ERCC2
MBOAT2,PRKCE
MBTD1,CXorf67
MEAF6,PHF1
MSN,ALK
MYB,NFIB
MYO5A,ROS1
NAB2,STAT6
NACC2,NTRK2
NCOA4,RET
NDRG1,ERG
NF1,ASIC2
NFIA,EHF
NFIX,MAST1
NONO,TFE3
NOTCH1,GABBR2
NTN1,ACLY
NUP107,LGR5
NUP214,ABL1
NUP98,KDM5A
OMD,USP6
PAX3,FOXO1
PAX3,NCOA1
PAX3,NCOA2
PAX7,FOXO1
PCM1,RET
PPFIBP1,ALK
PPFIBP1,ROS1
PRCC,TFE3
PRKAR1A,RET
PTPRK,RSPO3
PWWP2A,ROS1
QKI,NTRK2
RAF1,DAZL
RBM14,PACS1
RGS22,SYCP1
RNF130,BRAF
SEC31A,ALK
SEC31A,JAK2
SET,NUP214
SFPQ,TFE3
SLC22A1,CUTA
SLC26A6,PRKAR2A
SLC45A3,BRAF
SLC45A3,ELK4
SLC45A3,ERG
SLC45A3,ETV1
SLC45A3,ETV5
SQSTM1,ALK
SS18L1,SSX1
SSBP2,JAK2
SSH2,SUZ12
STIL,TAL1
SUSD1,PTBP3
TADA2A,MAST1
TAF15,NR4A3
TCEA1,PLAG1
TCF12,NR4A3
TECTA,TBCEL
TFG,ALK
TFG,NR4A3
THRAP3,USP6
TP53,NTRK1
TPM3,ALK
TPM4,ALK
TRIM24,RET
TRIM27,RET
TRIM33,RET
UBE2L3,KRAS
VCL,ALK
VTI1A,TCF7L2
YWHAE,NUTM2A
YWHAE,NUTM2B
ZCCHC8,ROS1
ZNF700,MAST1
ZSCAN30,BRAF
